schema	baseline_version	example	fqbn	core	toolchain	flash_bytes	flash_budget_bytes	static_ram_bytes	static_ram_budget_bytes
1	1	Lesson001DigitalOutput	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	2378	8192	56	384
1	2	Lesson002DigitalInput	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	2794	8192	66	384
1	1	Lesson003ReactionTimer	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4470	12288	155	512
1	2	Lesson004PwmRgb	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4200	12288	138	512
1	1	Lesson005PiezoSounder	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4040	12288	116	512
1	1	Lesson006Simon	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	10614	20480	509	1024
1	1	Lesson007AnalogInput	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5120	12288	272	512
1	1	Lesson008SampledSignal	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5990	16384	357	768
1	1	Lesson009AdaptiveNightLight	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5916	16384	268	768
1	1	Lesson010ShiftRegisterDisplay	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	3166	16384	127	768
1	1	Lesson011TimedTraffic	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6048	16384	332	768
1	1	Lesson012TrafficJunction	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6804	24576	393	1024
1	1	Lesson013Dht11Climate	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6554	24576	187	1024
1	1	Lesson014CharacterDisplay	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	7892	24576	839	1536
1	1	Lesson015EnvironmentalStation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	14746	32768	946	1536
1	1	Lesson016MatrixKeypad	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5844	24576	284	1024
1	1	Lesson017BoundedServo	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6480	24576	295	1024
1	1	Lesson018AccessTrainer	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	11278	32768	508	1536
1	1	Lesson019UltrasonicRange	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4786	24576	171	1024
1	1	Lesson020MotorIntent	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5914	24576	155	1024
1	1	Lesson021BenchRover	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	12186	32768	633	1536
1	2	Lesson022OwnedBuses	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	7134	32768	797	1536
1	1	Lesson023InertLoadInterlock	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5040	24576	209	1024
1	1	Lesson024GreenhouseTrainer	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	15574	32768	1512	2048
1	1	Lesson025InfraredEvidence	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	12400	32768	2537	3072
1	1	Lesson026TelemetryPacket	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4402	16384	136	512
1	2	Lesson027TelemetryConsole	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	12810	24576	801	1024
1	1	Lesson028InertChannelAssessment	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5100	16384	404	768
1	1	Lesson029InertCueSchedule	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	10952	24576	1832	2048
1	2	Lesson030InertShowSimulator	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	16464	32768	2685	3072
1	1	Lesson031AnalogJoystick	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6250	16384	273	512
1	1	Lesson032QuadratureEncoder	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5910	16384	265	512
1	1	Lesson033CalibrationConsole	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	14114	24576	767	1024
1	1	Lesson034MagneticObservation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4932	16384	218	512
1	1	Lesson035PassageQualifier	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6566	16384	481	768
1	2	Lesson036MagneticPassageLogger	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	13342	24576	918	1536
1	1	Lesson037ContactDynamics	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	4864	16384	194	512
1	1	Lesson038AcousticEnvelope	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5840	16384	282	512
1	1	Lesson039PercussionSequencer	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	12202	24576	1253	1536
1	1	Lesson040OpticalObservation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	5112	16384	300	512
1	1	Lesson041PresenceModel	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	8818	16384	226	512
1	1	Lesson042CourseMarshal	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	15596	24576	901	1536
1	1	Lesson043InertialObservation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6682	16384	949	1024
1	1	Lesson044OrientationPresentation	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	13740	16384	748	1024
1	2	Lesson045BalanceTableInstrument	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	26398	28672	1898	2048
1	1	Lesson046InteractionIntent	arduino:avr:mega	arduino-avr-1.8.8	avr-gcc-7.3.0	6956	16384	733	2048
